,week,title,artist,rank,last_week,peak_pos,weeks_on_chart
0,2020-09-12,Dynamite,BTS,1,1,1,2
1,2020-09-12,WAP,Cardi B Featuring Megan Thee Stallion,2,2,1,4
2,2020-09-12,Laugh Now Cry Later,Drake Featuring Lil Durk,3,3,2,3
3,2020-09-12,Rockstar,DaBaby Featuring Roddy Ricch,4,4,1,20
4,2020-09-12,Blinding Lights,The Weeknd,5,5,1,40
5,2020-09-12,Watermelon Sugar,Harry Styles,6,7,1,24
6,2020-09-12,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",7,6,2,30
7,2020-09-12,Mood,24kGoldn Featuring iann dior,8,12,8,4
8,2020-09-12,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9,9,7,12
9,2020-09-12,Before You Go,Lewis Capaldi,10,10,10,31
10,2020-09-12,Roses,SAINt JHN,11,8,4,24
11,2020-09-12,I Hope,Gabby Barrett,12,11,10,36
12,2020-09-12,Ice Cream,BLACKPINK X Selena Gomez,13,101,13,1
13,2020-09-12,Go Crazy,Chris Brown & Young Thug,14,13,9,17
14,2020-09-12,Circles,Post Malone,15,16,1,53
15,2020-09-12,Break My Heart,Dua Lipa,16,14,13,23
16,2020-09-12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17,15,6,9
17,2020-09-12,Adore You,Harry Styles,18,17,6,39
18,2020-09-12,Come & Go,Juice WRLD x Marshmello,19,19,2,8
19,2020-09-12,Mood Swings,Pop Smoke Featuring Lil Tjay,20,18,17,9
20,2020-09-12,Tap In,Saweetie,21,31,21,8
21,2020-09-12,Be Like That,Kane Brown With Swae Lee & Khalid,22,26,22,8
22,2020-09-12,Don't Start Now,Dua Lipa,23,27,2,44
23,2020-09-12,Popstar,DJ Khaled Featuring Drake,24,21,3,7
24,2020-09-12,Die From A Broken Heart,Maddie & Tae,25,22,22,21
25,2020-09-12,Lovin' On You,Luke Combs,26,30,26,10
26,2020-09-12,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,34,27,23
27,2020-09-12,The Bones,Maren Morris,28,25,12,50
28,2020-09-12,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,29,23,11,9
29,2020-09-12,Savage,Megan Thee Stallion Featuring Beyonce,30,20,1,25
30,2020-09-12,Got What I Got,Jason Aldean,31,33,31,14
31,2020-09-12,Rags2Riches,Rod Wave Featuring ATR Son Son,32,28,12,10
32,2020-09-12,One Of Them Girls,Lee Brice,33,46,33,14
33,2020-09-12,Rain On Me,Lady Gaga & Ariana Grande,34,55,1,15
34,2020-09-12,Blueberry Faygo,Lil Mosey,35,29,8,30
35,2020-09-12,Death Bed,Powfu Featuring beabadoobee,36,24,23,25
36,2020-09-12,Midnight Sky,Miley Cyrus,37,41,14,3
37,2020-09-12,Over Now,Calvin Harris X The Weeknd,38,101,38,1
38,2020-09-12,Life Is Good,Future Featuring Drake,39,35,2,34
39,2020-09-12,Wishing Well,Juice WRLD,40,32,5,8
40,2020-09-12,Cool Again,Kane Brown,41,39,39,14
41,2020-09-12,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",42,51,42,22
42,2020-09-12,One Margarita,Luke Bryan,43,37,19,18
43,2020-09-12,Girls In The Hood,Megan Thee Stallion,44,45,28,10
44,2020-09-12,Cardigan,Taylor Swift,45,36,1,6
45,2020-09-12,Say So,Doja Cat Featuring Nicki Minaj,46,47,1,35
46,2020-09-12,Chasin' You,Morgan Wallen,47,43,16,32
47,2020-09-12,Nobody's Love,Maroon 5,48,49,41,6
48,2020-09-12,Intentions,Justin Bieber Featuring Quavo,49,42,5,30
49,2020-09-12,We Paid,Lil Baby & 42 Dugg,50,44,10,18
50,2020-09-12,Heather,Conan Gray,51,50,50,3
51,2020-09-12,The Bigger Picture,Lil Baby,52,54,3,12
52,2020-09-12,Like That,Doja Cat Featuring Gucci Mane,53,56,51,14
53,2020-09-12,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,54,66,54,3
54,2020-09-12,Party Girl,StaySolidRocky,55,53,21,19
55,2020-09-12,7 Summers,Morgan Wallen,56,38,6,3
56,2020-09-12,Starting Over,Chris Stapleton,57,101,57,1
57,2020-09-12,Bang!,AJR,58,64,58,9
58,2020-09-12,Smile,Juice WRLD & The Weeknd,59,52,8,4
59,2020-09-12,Hawai,Maluma,60,79,60,2
60,2020-09-12,I Should Probably Go To Bed,Dan + Shay,61,59,43,5
61,2020-09-12,I Love My Country,Florida Georgia Line,62,40,40,20
62,2020-09-12,More Than My Hometown,Morgan Wallen,63,67,61,12
63,2020-09-12,Said Sum,Moneybagg Yo,64,58,44,9
64,2020-09-12,Greece,DJ Khaled Featuring Drake,65,62,8,7
65,2020-09-12,God Whispered Your Name,Keith Urban,66,68,60,20
66,2020-09-12,24,Money Man Featuring Lil Baby,67,63,63,3
67,2020-09-12,My Ex's Best Friend,Machine Gun Kelly X blackbear,68,86,68,3
68,2020-09-12,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",69,70,63,6
69,2020-09-12,ily,surf mesa Featuring Emilee,70,82,70,15
70,2020-09-12,Breaking Me,Topic & A7S,71,71,71,6
71,2020-09-12,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,72,72,72,13
72,2020-09-12,Kacey Talk,YoungBoy Never Broke Again,73,65,58,3
73,2020-09-12,Some Girls,Jameson Rodgers,74,78,74,4
74,2020-09-12,Kings & Queens,Ava Max,75,73,73,4
75,2020-09-12,Why We Drink,Justin Moore,76,60,50,14
76,2020-09-12,One Night Standards,Ashley McBryde,77,80,76,13
77,2020-09-12,My Future,Billie Eilish,78,57,6,5
78,2020-09-12,Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,79,101,79,1
79,2020-09-12,Pretty Heart,Parker McCollum,80,75,75,8
80,2020-09-12,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,81,77,56,6
81,2020-09-12,I Called Mama,Tim McGraw,82,61,61,5
82,2020-09-12,Expensive,Ty Dolla $ign Featuring Nicki Minaj,83,101,83,1
83,2020-09-12,Caramelo,Ozuna,84,81,81,3
84,2020-09-12,Martin & Gina,Polo G,85,83,61,5
85,2020-09-12,Dollaz On My Head,Gunna Featuring Young Thug,86,84,38,13
86,2020-09-12,You Broke Me First.,Tate McRae,87,95,87,2
87,2020-09-12,Need It,Migos Featuring YoungBoy Never Broke Again,88,69,62,14
88,2020-09-12,After Party,Don Toliver,89,88,57,19
89,2020-09-12,Lets Link,WhoHeem,90,101,90,1
90,2020-09-12,Stuck With U,Ariana Grande & Justin Bieber,91,89,1,17
91,2020-09-12,The 1,Taylor Swift,92,85,4,6
92,2020-09-12,Lonely If You Are,Chase Rice,93,94,93,3
93,2020-09-12,Done,Chris Janson,94,76,41,12
94,2020-09-12,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,95,93,93,4
95,2020-09-12,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,96,92,43,11
96,2020-09-12,All In,YoungBoy Never Broke Again,97,90,90,2
97,2020-09-12,Got It On Me,Pop Smoke,98,91,31,9
98,2020-09-12,Ain't Always The Cowboy,Jon Pardi,99,101,99,1
99,2020-09-12,Girl Of My Dreams,Rod Wave,100,87,65,16
100,2020-09-05,Dynamite,BTS,1,101,1,1
101,2020-09-05,WAP,Cardi B Featuring Megan Thee Stallion,2,1,1,3
102,2020-09-05,Laugh Now Cry Later,Drake Featuring Lil Durk,3,2,2,2
103,2020-09-05,Rockstar,DaBaby Featuring Roddy Ricch,4,3,1,19
104,2020-09-05,Blinding Lights,The Weeknd,5,4,1,39
105,2020-09-05,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",6,5,2,29
106,2020-09-05,Watermelon Sugar,Harry Styles,7,7,1,23
107,2020-09-05,Roses,SAINt JHN,8,8,4,23
108,2020-09-05,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9,9,7,11
109,2020-09-05,Before You Go,Lewis Capaldi,10,12,10,30
110,2020-09-05,I Hope,Gabby Barrett,11,10,10,35
111,2020-09-05,Mood,24kGoldn Featuring iann dior,12,26,12,3
112,2020-09-05,Go Crazy,Chris Brown & Young Thug,13,11,9,16
113,2020-09-05,Break My Heart,Dua Lipa,14,13,13,22
114,2020-09-05,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,15,17,6,8
115,2020-09-05,Circles,Post Malone,16,16,1,52
116,2020-09-05,Adore You,Harry Styles,17,15,6,38
117,2020-09-05,Mood Swings,Pop Smoke Featuring Lil Tjay,18,19,17,8
118,2020-09-05,Come & Go,Juice WRLD x Marshmello,19,18,2,7
119,2020-09-05,Savage,Megan Thee Stallion Featuring Beyonce,20,20,1,24
120,2020-09-05,Popstar,DJ Khaled Featuring Drake,21,21,3,6
121,2020-09-05,Die From A Broken Heart,Maddie & Tae,22,25,22,20
122,2020-09-05,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,23,28,11,8
123,2020-09-05,Death Bed,Powfu Featuring beabadoobee,24,23,23,24
124,2020-09-05,The Bones,Maren Morris,25,29,12,49
125,2020-09-05,Be Like That,Kane Brown With Swae Lee & Khalid,26,34,26,7
126,2020-09-05,Don't Start Now,Dua Lipa,27,27,2,43
127,2020-09-05,Rags2Riches,Rod Wave Featuring ATR Son Son,28,22,12,9
128,2020-09-05,Blueberry Faygo,Lil Mosey,29,24,8,29
129,2020-09-05,Lovin' On You,Luke Combs,30,53,30,9
130,2020-09-05,Tap In,Saweetie,31,41,31,7
